State_Name,PC NAME,CANDIDATES_NAME,SEX,AGE,CATEGORY,PARTY_NAME,PARTY_SYMBOL,GENERAL,POSTAL ,Total_Electors
Andhra Pradesh,Adilabad ,GODAM NAGESH,M,49,ST,TRS,Car,425762,5085,1386282
Andhra Pradesh,Adilabad ,NARESH,M,37,ST,INC,Hand,257994,1563,1386282
Andhra Pradesh,Adilabad ,RAMESH RATHOD,M,48,ST,TDP,Bicycle,182879,1319,1386282
Andhra Pradesh,Adilabad ,RATHOD SADASHIV,M,55,ST,BSP,Elephant,94363,57,1386282
Andhra Pradesh,Adilabad ,NETHAWATH RAMDAS,M,44,ST,IND,Auto- Rickshaw,41028,4,1386282
Andhra Pradesh,Adilabad ,PAWAR KRISHNA,M,33,ST,IND,Bat,5051,4,1386282
Andhra Pradesh,Adilabad ,BANKA SAHADEV,M,53,ST,IND,Gas Cylinder,4780,7,1386282
Andhra Pradesh,Adilabad ,MOSALI CHINNAIAH,M,40,ST,IND,Almirah,8842,17,1386282
Andhra Pradesh,Adilabad ,None of the Above,,,,NOTA,NOTA,17021,63,1386282
Andhra Pradesh,Peddapalle ,DR.JANAPATI SARAT BABU,M,42,SC,TDP,Bicycle,63174,160,1425355
Andhra Pradesh,Peddapalle ,TAGARAM SHANKAR LAL,M,37,SC,BSP,Elephant,9430,19,1425355
Andhra Pradesh,Peddapalle ,BALKA SUMAN,M,31,SC,TRS,Car,563214,2282,1425355
Andhra Pradesh,Peddapalle ,G. VIVEKANAND,M,56,SC,INC,Hand,273441,897,1425355
Andhra Pradesh,Peddapalle ,KALVALA SHANKAR,M,44,SC,PPOI,Television,9288,2,1425355
Andhra Pradesh,Peddapalle ,KALVALA SANJEEV,M,37,SC,RPI,Sewing Machine,8609,0,1425355
Andhra Pradesh,Peddapalle ,BOTHA VENKATA MALLAIAH,M,58,SC,BCUF,Chappals,2245,0,1425355
Andhra Pradesh,Peddapalle ,J.V. RAJU,M,50,SC,NIP,Cup & Saucer,3020,0,1425355
Andhra Pradesh,Peddapalle ,VENKATA SWAMY INJAM,M,42,SC,MaSP,Ring,3861,5,1425355
Andhra Pradesh,Peddapalle ,VELTHURU MALLAIAH,M,57,SC,RP(K),Auto- Rickshaw,45976,1,1425355
Andhra Pradesh,Peddapalle ,KAMILLA JAYA RAO,M,43,SC,IND,Scissors,2741,1,1425355
Andhra Pradesh,Peddapalle ,GADDALA VINAY KUMAR,M,65,SC,IND,Ceiling Fan,3263,3,1425355
Andhra Pradesh,Peddapalle ,GORRE RAMESH,M,43,SC,IND,Gas Cylinder,2359,2,1425355
Andhra Pradesh,Peddapalle ,JINNA RAMADEVI,F,37,SC,IND,Battery Torch,9199,0,1425355
Andhra Pradesh,Peddapalle ,THALLAPALLI SRINIVAS,M,35,SC,IND,Candles,3698,1,1425355
Andhra Pradesh,Peddapalle ,BUPELLI NARAYANA,M,30,SC,IND,Bat,7255,3,1425355
Andhra Pradesh,Peddapalle ,MOUTAM RAVINDER,M,33,SC,IND,Almirah,2671,3,1425355
